iter	Passed	Remaining
1037	21750	20158
1038	21781	20146
1039	21810	20132
1040	21881	20157
1041	21910	20143
1042	21942	20133
1043	21975	20122
1044	22006	20111
1045	22089	20146
1046	22128	20141
1047	22160	20130
1048	22193	20119
1049	22227	20110
1050	22298	20134
1051	22331	20123
1052	22355	20105
1053	22385	20091
1054	22418	20080
1055	22493	20107
1056	22521	20092
1057	22549	20077
1058	22583	20067
1059	22615	20055
1060	22686	20077
1061	22721	20068
1062	22757	20059
1063	22790	20048
1064	22824	20038
1065	22904	20068
1066	22938	20057
1067	22972	20047
1068	23004	20034
1069	23037	20023
1070	23131	20064
1071	23172	20060
1072	23207	20049
1073	23243	20040
1074	23285	20035
1075	23358	20058
1076	23387	20043
1077	23417	20028
1078	23452	20018
1079	23479	20000
1080	23539	20011
1081	23564	19992
1082	23587	19971
1083	23603	19945
1084	23627	19925
1085	23696	19943
1086	23727	19929
1087	23741	19900
1088	23778	19891
1089	23813	19881
1090	23875	19892
1091	23901	19874
1092	23931	19859
1093	23961	19843
1094	23990	19827
1095	24054	19840
1096	24082	19823
1097	24113	19808
1098	24144	19794
1099	24179	19783
1100	24261	19810
1101	24287	19791
1102	24318	19776
1103	24351	19763
1104	24384	19750
1105	24451	19764
1106	24483	19750
1107	24521	19741
1108	24557	19729
1109	24594	19719
1110	24661	19733
1111	24695	19720
1112	24728	19707
1113	24761	19693
1114	24795	19681
1115	24867	19697
1116	24903	19686
1117	24936	19672
1118	24969	19658
1119	25002	19644
1120	25071	19659
1121	25104	19645
1122	25138	19631
1123	25174	19619
1124	25225	19619
1125	25310	19646
1126	25341	19629
1127	25374	19615
1128	25408	19602
1129	25442	19588
1130	25514	19604
1131	25538	19582
1132	25559	19558
1133	25592	19543
1134	25613	19520
1135	25672	19525
1136	25699	19506
1137	25719	19481
1138	25741	19458
1139	25774	19443
1140	25832	19447
1141	25870	19436
1142	25901	19420
1143	25933	19404
1144	25959	19384
1145	26021	19391
1146	26052	19374
1147	26076	19352
1148	26104	19333
1149	26130	19314
1150	26203	19328
1151	26231	19309
1152	26266	19295
1153	26319	19295
1154	26360	19285
1155	26428	19295
1156	26448	19270
1157	26473	19249
1158	26503	19231
1159	26541	19219
