iter	Passed	Remaining
875	39976	51294
876	40010	51233
877	40050	51180
878	40090	51127
879	40138	51085
880	40196	51055
881	40233	50998
882	40271	50943
883	40309	50887
884	40346	50832
885	40407	50805
886	40445	50750
887	40481	50692
888	40517	50635
889	40557	50583
890	40616	50554
891	40651	50495
892	40692	50443
893	40734	50394
894	40773	50340
895	40832	50311
896	40870	50256
897	40904	50196
898	40948	50149
899	40983	50091
900	41047	50067
901	41084	50011
902	41135	49973
903	41172	49917
904	41210	49861
905	41272	49836
906	41318	49791
907	41352	49732
908	41390	49677
909	41428	49622
910	41491	49598
911	41529	49543
912	41564	49486
913	41606	49436
914	41642	49379
915	41705	49354
916	41740	49296
917	41782	49246
918	41819	49190
919	41855	49134
920	41918	49109
921	41957	49056
922	41993	49000
923	42031	48946
924	42068	48890
925	42128	48861
926	42175	48817
927	42215	48766
928	42255	48714
929	42293	48659
930	42360	48639
931	42396	48582
932	42435	48530
933	42476	48479
934	42517	48429
935	42579	48402
936	42620	48351
937	42658	48297
938	42694	48241
939	42734	48189
940	42794	48160
941	42829	48103
942	42868	48050
943	42905	47996
944	42942	47940
945	43001	47910
946	43038	47856
947	43075	47801
948	43116	47750
949	43152	47695
950	43225	47679
951	43260	47622
952	43294	47564
953	43336	47515
954	43373	47461
955	43433	47432
956	43475	47382
957	43513	47328
958	43552	47276
959	43588	47221
960	43653	47196
961	43690	47142
962	43724	47084
963	43762	47031
964	43799	46976
965	43861	46948
966	43896	46892
967	43934	46839
968	43972	46786
969	44010	46733
970	44075	46707
971	44116	46658
972	44156	46606
973	44206	46566
974	44258	46528
975	44321	46501
976	44357	46446
977	44405	46403
978	44453	46360
979	44511	46328
980	44616	46344
981	44682	46320
982	44746	46293
983	44808	46265
984	44868	46235
985	44966	46242
986	45019	46205
987	45084	46179
988	45143	46147
989	45200	46113
990	45317	46140
991	45386	46118
992	45451	46092
993	45518	46068
994	45589	46047
995	45695	46062
996	45763	46038
997	45814	45998
998	45870	45962
999	45930	45930
1000	46042	45950
1001	46089	45905
1002	46150	45874
1003	46208	45839
1004	46279	45818
1005	46395	45841
1006	46454	45808
1007	46524	45786
1008	46590	45759
1009	46658	45734
1010	46765	45747
1011	46803	45693
1012	46843	45640
1013	46897	45602
1014	46955	45567
1015	47068	45586
1016	47125	45550
1017	47193	45524
1018	47257	45495
1019	47333	45476
1020	47441	45489
1021	47506	45461
1022	47567	45428
1023	47631	45398
1024	47701	45374
1025	47804	45381
1026	47883	45366
1027	47930	45319
1028	47967	45263
1029	48004	45208
1030	48066	45176
1031	48107	45124
1032	48144	45068
1033	48183	45014
1034	48220	44959
1035	48287	44932
1036	48329	44880
1037	48386	44843
1038	48422	44787
1039	48461	44733
1040	48544	44720
1041	48581	44664
1042	48616	44608
1043	48654	44553
1044	48690	44497
1045	48753	44465
1046	48790	44409
1047	48827	44354
1048	48866	44301
1049	48907	44250
1050	48969	44217
1051	49006	44162
1052	49047	44110
1053	49084	44055
1054	49122	44000
1055	49181	43964
1056	49219	43911
1057	49256	43855
1058	49290	43798
1059	49325	43741
1060	49408	43726
1061	49441	43668
1062	49475	43610
1063	49509	43553
1064	49553	43504
1065	49614	43470
1066	49651	43416
1067	49690	43362
1068	49732	43311
1069	49775	43262
1070	49838	43230
1071	49873	43174
1072	49911	43119
1073	49948	43065
1074	49982	43008
1075	50049	42979
1076	50084	42922
1077	50123	42870
1078	50162	42816
1079	50203	42765
1080	50261	42729
1081	50296	42673
1082	50334	42619
1083	50374	42567
1084	50424	42523
1085	50483	42487
1086	50519	42432
1087	50565	42385
1088	50603	42332
1089	50643	42280
1090	50703	42245
1091	50737	42188
1092	50775	42135
